bowler,total_balls,total_runs,total_wickets,boundaries_conceded,dots,economy,dot_pct,wicket_rate
A Nakayama,82,44,3,4,57,3.2195121951219514,0.6951219512195121,0.036585365853658534
A Nanda,530,656,25,81,238,7.426415094339623,0.4490566037735849,0.04716981132075472
A Nao,1775,1486,66,167,1008,5.023098591549296,0.5678873239436619,0.03718309859154929
A Nathwani,304,367,15,42,121,7.24342105263158,0.3980263157894737,0.049342105263157895
A Natubhai Ahir,348,305,17,23,169,5.258620689655173,0.48563218390804597,0.04885057471264368
A Ndiraya,70,42,7,0,30,3.6,0.42857142857142855,0.1
A Ndlovu,230,259,3,36,109,6.756521739130434,0.47391304347826085,0.013043478260869565
A Nehra,4330,4123,150,502,2261,5.713163972286375,0.5221709006928407,0.03464203233256351
A Neill,550,470,23,52,310,5.127272727272727,0.5636363636363636,0.04181818181818182
A Nel,2989,2297,96,269,1818,4.6109066577450655,0.6082301773168284,0.03211776513884242
A Nortje,2014,2241,100,276,920,6.676266137040715,0.4568023833167825,0.04965243296921549
A Obulor,109,111,6,10,48,6.110091743119265,0.44036697247706424,0.05504587155963303
A Orfila,108,144,3,13,36,8.0,0.3333333333333333,0.027777777777777776
A Ostergaard,128,118,3,8,79,5.53125,0.6171875,0.0234375
A Parima,66,85,5,9,26,7.7272727272727275,0.3939393939393939,0.07575757575757576
A Patel,386,294,12,33,230,4.569948186528498,0.5958549222797928,0.031088082901554404
A Paul,228,318,15,34,70,8.368421052631579,0.30701754385964913,0.06578947368421052
A Perera,129,98,12,10,67,4.558139534883721,0.5193798449612403,0.09302325581395349
A Peters,65,48,1,3,39,4.43076923076923,0.6,0.015384615384615385
A Phillip,201,210,4,24,99,6.268656716417911,0.4925373134328358,0.01990049751243781
A Prashar,215,207,13,25,111,5.776744186046511,0.5162790697674419,0.06046511627906977
A Premaratne,481,286,11,20,295,3.5675675675675675,0.6133056133056133,0.02286902286902287
A Prince,61,44,2,2,33,4.327868852459017,0.5409836065573771,0.03278688524590164
A Pusthay,172,191,11,13,61,6.662790697674418,0.3546511627906977,0.06395348837209303
A Rajp,74,73,3,5,29,5.918918918918918,0.3918918918918919,0.04054054054054054
A Ramesh,7,16,0,3,3,13.714285714285714,0.42857142857142855,0.0
A Rameshan,150,157,11,20,72,6.28,0.48,0.07333333333333333
A Rangaswamy,535,379,27,37,353,4.250467289719626,0.6598130841121496,0.05046728971962617
A Razmilic,86,167,3,19,23,11.651162790697674,0.26744186046511625,0.03488372093023256
A Reddy,1458,1621,65,193,571,6.670781893004115,0.39163237311385457,0.04458161865569273
A Rehman,57,35,3,5,43,3.6842105263157894,0.7543859649122807,0.05263157894736842
A Reyes,291,373,20,43,115,7.690721649484536,0.3951890034364261,0.06872852233676977
A Sakande,314,339,6,44,150,6.477707006369426,0.47770700636942676,0.01910828025477707
A Salomao,629,510,30,37,365,4.864864864864865,0.5802861685214626,0.04769475357710652
A Sanford,38,34,1,2,23,5.368421052631579,0.6052631578947368,0.02631578947368421
A Saraan,36,27,1,2,18,4.5,0.5,0.027777777777777776
A Sathyan,16,16,1,2,9,6.0,0.5625,0.0625
A Savvani,445,411,17,34,217,5.541573033707865,0.48764044943820223,0.038202247191011236
A Sawyer,14,22,0,2,4,9.428571428571429,0.2857142857142857,0.0
A Shahi,331,393,20,40,138,7.123867069486405,0.4169184290030212,0.06042296072507553
A Shahzad,1464,1424,39,164,744,5.836065573770492,0.5081967213114754,0.02663934426229508
A Shamshudeen,18,24,0,2,4,8.0,0.2222222222222222,0.0
A Sharafu,13,15,0,2,8,6.923076923076923,0.6153846153846154,0.0
A Sharma,358,282,9,34,215,4.726256983240224,0.6005586592178771,0.025139664804469275
A Sheikh,223,224,3,24,126,6.026905829596413,0.5650224215246636,0.013452914798206279
A Shrubsole,4871,3760,190,451,2928,4.631492506672141,0.6011086019297885,0.039006364196263604
A Shukla,1510,1721,67,218,750,6.83841059602649,0.4966887417218543,0.04437086092715232
A Sibanda,11,6,0,0,11,3.272727272727273,1.0,0.0
A Sidhu,272,283,8,32,134,6.242647058823529,0.49264705882352944,0.029411764705882353
